genome_id	genome_name	taxon_id	antibiotic	resistant_phenotype	measurement	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_method_version	laboratory_typing_platform	vendor	testing_standard	testing_standard_year	source
985002.154	Staphylococcus argenteus strain 3688STDY6125080	985002	cefoxitin	Susceptible											
985002.154	Staphylococcus argenteus strain 3688STDY6125080	985002	clindamycin	Susceptible											
985002.154	Staphylococcus argenteus strain 3688STDY6125080	985002	erythromycin	Susceptible											
985002.154	Staphylococcus argenteus strain 3688STDY6125080	985002	fosfomycin	Susceptible											
985002.154	Staphylococcus argenteus strain 3688STDY6125080	985002	fusidic acid	Susceptible											
985002.154	Staphylococcus argenteus strain 3688STDY6125080	985002	gentamicin	Susceptible											
985002.154	Staphylococcus argenteus strain 3688STDY6125080	985002	levofloxacin	Susceptible											
985002.154	Staphylococcus argenteus strain 3688STDY6125080	985002	oxacillin	Susceptible											
985002.154	Staphylococcus argenteus strain 3688STDY6125080	985002	penicillin	Resistant											
985002.154	Staphylococcus argenteus strain 3688STDY6125080	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.135	Staphylococcus argenteus strain 3688STDY6125081	985002	cefoxitin	Susceptible											
985002.135	Staphylococcus argenteus strain 3688STDY6125081	985002	clindamycin	Susceptible											
985002.135	Staphylococcus argenteus strain 3688STDY6125081	985002	erythromycin	Susceptible											
985002.135	Staphylococcus argenteus strain 3688STDY6125081	985002	fosfomycin	Susceptible											
985002.135	Staphylococcus argenteus strain 3688STDY6125081	985002	fusidic acid	Susceptible											
985002.135	Staphylococcus argenteus strain 3688STDY6125081	985002	gentamicin	Susceptible											
985002.135	Staphylococcus argenteus strain 3688STDY6125081	985002	levofloxacin	Susceptible											
985002.135	Staphylococcus argenteus strain 3688STDY6125081	985002	oxacillin	Susceptible											
985002.135	Staphylococcus argenteus strain 3688STDY6125081	985002	penicillin	Resistant											
985002.135	Staphylococcus argenteus strain 3688STDY6125081	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.93	Staphylococcus argenteus strain 3688STDY6125082	985002	cefoxitin	Susceptible											
985002.93	Staphylococcus argenteus strain 3688STDY6125082	985002	clindamycin	Susceptible											
985002.93	Staphylococcus argenteus strain 3688STDY6125082	985002	erythromycin	Susceptible											
985002.93	Staphylococcus argenteus strain 3688STDY6125082	985002	fosfomycin	Susceptible											
985002.93	Staphylococcus argenteus strain 3688STDY6125082	985002	fusidic acid	Susceptible											
985002.93	Staphylococcus argenteus strain 3688STDY6125082	985002	gentamicin	Susceptible											
985002.93	Staphylococcus argenteus strain 3688STDY6125082	985002	levofloxacin	Susceptible											
985002.93	Staphylococcus argenteus strain 3688STDY6125082	985002	oxacillin	Susceptible											
985002.93	Staphylococcus argenteus strain 3688STDY6125082	985002	penicillin	Resistant											
985002.93	Staphylococcus argenteus strain 3688STDY6125082	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.134	Staphylococcus argenteus strain 3688STDY6125083	985002	cefoxitin	Susceptible											
985002.134	Staphylococcus argenteus strain 3688STDY6125083	985002	clindamycin	Susceptible											
985002.134	Staphylococcus argenteus strain 3688STDY6125083	985002	erythromycin	Susceptible											
985002.134	Staphylococcus argenteus strain 3688STDY6125083	985002	fosfomycin	Susceptible											
985002.134	Staphylococcus argenteus strain 3688STDY6125083	985002	fusidic acid	Susceptible											
985002.134	Staphylococcus argenteus strain 3688STDY6125083	985002	gentamicin	Susceptible											
985002.134	Staphylococcus argenteus strain 3688STDY6125083	985002	levofloxacin	Susceptible											
985002.134	Staphylococcus argenteus strain 3688STDY6125083	985002	oxacillin	Susceptible											
985002.134	Staphylococcus argenteus strain 3688STDY6125083	985002	penicillin	Resistant											
985002.134	Staphylococcus argenteus strain 3688STDY6125083	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.133	Staphylococcus argenteus strain 3688STDY6125084	985002	cefoxitin	Susceptible											
985002.133	Staphylococcus argenteus strain 3688STDY6125084	985002	clindamycin	Susceptible											
985002.133	Staphylococcus argenteus strain 3688STDY6125084	985002	erythromycin	Susceptible											
985002.133	Staphylococcus argenteus strain 3688STDY6125084	985002	fosfomycin	Susceptible											
985002.133	Staphylococcus argenteus strain 3688STDY6125084	985002	fusidic acid	Susceptible											
985002.133	Staphylococcus argenteus strain 3688STDY6125084	985002	gentamicin	Susceptible											
985002.133	Staphylococcus argenteus strain 3688STDY6125084	985002	levofloxacin	Susceptible											
985002.133	Staphylococcus argenteus strain 3688STDY6125084	985002	oxacillin	Susceptible											
985002.133	Staphylococcus argenteus strain 3688STDY6125084	985002	penicillin	Resistant											
985002.133	Staphylococcus argenteus strain 3688STDY6125084	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.92	Staphylococcus argenteus strain 3688STDY6125085	985002	cefoxitin	Susceptible											
985002.92	Staphylococcus argenteus strain 3688STDY6125085	985002	clindamycin	Susceptible											
985002.92	Staphylococcus argenteus strain 3688STDY6125085	985002	erythromycin	Susceptible											
985002.92	Staphylococcus argenteus strain 3688STDY6125085	985002	fosfomycin	Susceptible											
985002.92	Staphylococcus argenteus strain 3688STDY6125085	985002	fusidic acid	Susceptible											
985002.92	Staphylococcus argenteus strain 3688STDY6125085	985002	gentamicin	Susceptible											
985002.92	Staphylococcus argenteus strain 3688STDY6125085	985002	levofloxacin	Susceptible											
985002.92	Staphylococcus argenteus strain 3688STDY6125085	985002	oxacillin	Susceptible											
985002.92	Staphylococcus argenteus strain 3688STDY6125085	985002	penicillin	Resistant											
985002.92	Staphylococcus argenteus strain 3688STDY6125085	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.91	Staphylococcus argenteus strain 3688STDY6125086	985002	cefoxitin	Susceptible											
985002.91	Staphylococcus argenteus strain 3688STDY6125086	985002	clindamycin	Susceptible											
985002.91	Staphylococcus argenteus strain 3688STDY6125086	985002	erythromycin	Susceptible											
985002.91	Staphylococcus argenteus strain 3688STDY6125086	985002	fosfomycin	Susceptible											
985002.91	Staphylococcus argenteus strain 3688STDY6125086	985002	fusidic acid	Susceptible											
985002.91	Staphylococcus argenteus strain 3688STDY6125086	985002	gentamicin	Susceptible											
985002.91	Staphylococcus argenteus strain 3688STDY6125086	985002	levofloxacin	Susceptible											
985002.91	Staphylococcus argenteus strain 3688STDY6125086	985002	oxacillin	Susceptible											
985002.91	Staphylococcus argenteus strain 3688STDY6125086	985002	penicillin	Resistant											
985002.91	Staphylococcus argenteus strain 3688STDY6125086	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.132	Staphylococcus argenteus strain 3688STDY6125087	985002	cefoxitin	Susceptible											
985002.132	Staphylococcus argenteus strain 3688STDY6125087	985002	clindamycin	Susceptible											
985002.132	Staphylococcus argenteus strain 3688STDY6125087	985002	erythromycin	Susceptible											
985002.132	Staphylococcus argenteus strain 3688STDY6125087	985002	fosfomycin	Susceptible											
985002.132	Staphylococcus argenteus strain 3688STDY6125087	985002	fusidic acid	Susceptible											
985002.132	Staphylococcus argenteus strain 3688STDY6125087	985002	gentamicin	Susceptible											
985002.132	Staphylococcus argenteus strain 3688STDY6125087	985002	levofloxacin	Susceptible											
985002.132	Staphylococcus argenteus strain 3688STDY6125087	985002	oxacillin	Susceptible											
985002.132	Staphylococcus argenteus strain 3688STDY6125087	985002	penicillin	Resistant											
985002.132	Staphylococcus argenteus strain 3688STDY6125087	985002	trimethoprim/sulfamethoxazole	Susceptible											
985002.90	Staphylococcus argenteus strain 3688STDY6125088	985002	cefoxitin	Susceptible											
