genome_id	genome.publication	genome.bioproject_accession	genome.biosample_accession	genome.assembly_accession	genome.genbank_accessions	genome.refseq_accessions
1280.9818	26686880	PRJEB5261	SAMEA2340073			
1280.9818	26686880	PRJEB5261	SAMEA2340073			
1280.8587	26686880	PRJEB5261	SAMEA2340074			
1280.8587	26686880	PRJEB5261	SAMEA2340074			
1280.8587	26686880	PRJEB5261	SAMEA2340074			
1280.8587	26686880	PRJEB5261	SAMEA2340074			
1280.8587	26686880	PRJEB5261	SAMEA2340074			
1280.8587	26686880	PRJEB5261	SAMEA2340074			
1280.8587	26686880	PRJEB5261	SAMEA2340074			
1280.8587	26686880	PRJEB5261	SAMEA2340074			
1280.8587	26686880	PRJEB5261	SAMEA2340074			
1280.8587	26686880	PRJEB5261	SAMEA2340074			
1280.9819	26686880	PRJEB5261	SAMEA2340075			
1280.9819	26686880	PRJEB5261	SAMEA2340075			
1280.9819	26686880	PRJEB5261	SAMEA2340075			
1280.9819	26686880	PRJEB5261	SAMEA2340075			
1280.9819	26686880	PRJEB5261	SAMEA2340075			
1280.9819	26686880	PRJEB5261	SAMEA2340075			
1280.9819	26686880	PRJEB5261	SAMEA2340075			
1280.9819	26686880	PRJEB5261	SAMEA2340075			
1280.9819	26686880	PRJEB5261	SAMEA2340075			
1280.9819	26686880	PRJEB5261	SAMEA2340075			
1280.8589	26686880	PRJEB5261	SAMEA2340076			
1280.8589	26686880	PRJEB5261	SAMEA2340076			
1280.8589	26686880	PRJEB5261	SAMEA2340076			
1280.8589	26686880	PRJEB5261	SAMEA2340076			
1280.8589	26686880	PRJEB5261	SAMEA2340076			
1280.8589	26686880	PRJEB5261	SAMEA2340076			
1280.8589	26686880	PRJEB5261	SAMEA2340076			
1280.8589	26686880	PRJEB5261	SAMEA2340076			
1280.8589	26686880	PRJEB5261	SAMEA2340076			
1280.8589	26686880	PRJEB5261	SAMEA2340076			
1280.8588	26686880	PRJEB5261	SAMEA2340077			
1280.8588	26686880	PRJEB5261	SAMEA2340077			
1280.8588	26686880	PRJEB5261	SAMEA2340077			
1280.8588	26686880	PRJEB5261	SAMEA2340077			
1280.8588	26686880	PRJEB5261	SAMEA2340077			
1280.8588	26686880	PRJEB5261	SAMEA2340077			
1280.8588	26686880	PRJEB5261	SAMEA2340077			
1280.8588	26686880	PRJEB5261	SAMEA2340077			
1280.8588	26686880	PRJEB5261	SAMEA2340077			
1280.8588	26686880	PRJEB5261	SAMEA2340077			
1280.9820	26686880	PRJEB5261	SAMEA2340078			
1280.9820	26686880	PRJEB5261	SAMEA2340078			
1280.9820	26686880	PRJEB5261	SAMEA2340078			
1280.9820	26686880	PRJEB5261	SAMEA2340078			
1280.9820	26686880	PRJEB5261	SAMEA2340078			
1280.9820	26686880	PRJEB5261	SAMEA2340078			
1280.9820	26686880	PRJEB5261	SAMEA2340078			
1280.9820	26686880	PRJEB5261	SAMEA2340078			
1280.9820	26686880	PRJEB5261	SAMEA2340078			
1280.9820	26686880	PRJEB5261	SAMEA2340078			
1280.8499	26686880	PRJEB5261	SAMEA2340079			
1280.8499	26686880	PRJEB5261	SAMEA2340079			
1280.8499	26686880	PRJEB5261	SAMEA2340079			
1280.8499	26686880	PRJEB5261	SAMEA2340079			
1280.8499	26686880	PRJEB5261	SAMEA2340079			
1280.8499	26686880	PRJEB5261	SAMEA2340079			
1280.8499	26686880	PRJEB5261	SAMEA2340079			
1280.8499	26686880	PRJEB5261	SAMEA2340079			
1280.8499	26686880	PRJEB5261	SAMEA2340079			
1280.8499	26686880	PRJEB5261	SAMEA2340079			
1280.9821	26686880	PRJEB5261	SAMEA2340080			
1280.9821	26686880	PRJEB5261	SAMEA2340080			
1280.9821	26686880	PRJEB5261	SAMEA2340080			
1280.9821	26686880	PRJEB5261	SAMEA2340080			
1280.9821	26686880	PRJEB5261	SAMEA2340080			
1280.9821	26686880	PRJEB5261	SAMEA2340080			
1280.9821	26686880	PRJEB5261	SAMEA2340080			
1280.9821	26686880	PRJEB5261	SAMEA2340080			
1280.9821	26686880	PRJEB5261	SAMEA2340080			
1280.9821	26686880	PRJEB5261	SAMEA2340080			
1280.9822	26686880	PRJEB5261	SAMEA2340081			
1280.9822	26686880	PRJEB5261	SAMEA2340081			
1280.9822	26686880	PRJEB5261	SAMEA2340081			
1280.9822	26686880	PRJEB5261	SAMEA2340081			
1280.9822	26686880	PRJEB5261	SAMEA2340081			
1280.9822	26686880	PRJEB5261	SAMEA2340081			
1280.9822	26686880	PRJEB5261	SAMEA2340081			
1280.9822	26686880	PRJEB5261	SAMEA2340081			
1280.9822	26686880	PRJEB5261	SAMEA2340081			
1280.9822	26686880	PRJEB5261	SAMEA2340081			
1280.9823	26686880	PRJEB5261	SAMEA2340082			
1280.9823	26686880	PRJEB5261	SAMEA2340082			
1280.9823	26686880	PRJEB5261	SAMEA2340082			
1280.9823	26686880	PRJEB5261	SAMEA2340082			
1280.9823	26686880	PRJEB5261	SAMEA2340082			
1280.9823	26686880	PRJEB5261	SAMEA2340082			
1280.9823	26686880	PRJEB5261	SAMEA2340082			
1280.9823	26686880	PRJEB5261	SAMEA2340082			
1280.9823	26686880	PRJEB5261	SAMEA2340082			
1280.9823	26686880	PRJEB5261	SAMEA2340082			
1280.8590	26686880	PRJEB5261	SAMEA2340083			
1280.8590	26686880	PRJEB5261	SAMEA2340083			
1280.8590	26686880	PRJEB5261	SAMEA2340083			
1280.8590	26686880	PRJEB5261	SAMEA2340083			
1280.8590	26686880	PRJEB5261	SAMEA2340083			
1280.8590	26686880	PRJEB5261	SAMEA2340083			
1280.8590	26686880	PRJEB5261	SAMEA2340083			
1280.8590	26686880	PRJEB5261	SAMEA2340083			
1280.8590	26686880	PRJEB5261	SAMEA2340083			
1280.8590	26686880	PRJEB5261	SAMEA2340083			
1280.9824	26686880	PRJEB5261	SAMEA2340084			
1280.9824	26686880	PRJEB5261	SAMEA2340084			
1280.9824	26686880	PRJEB5261	SAMEA2340084			
1280.9824	26686880	PRJEB5261	SAMEA2340084			
1280.9824	26686880	PRJEB5261	SAMEA2340084			
1280.9824	26686880	PRJEB5261	SAMEA2340084			
1280.9824	26686880	PRJEB5261	SAMEA2340084			
1280.9824	26686880	PRJEB5261	SAMEA2340084			
1280.9824	26686880	PRJEB5261	SAMEA2340084			
1280.9824	26686880	PRJEB5261	SAMEA2340084			
1280.8534	26686880	PRJEB5261	SAMEA2340085			
1280.8534	26686880	PRJEB5261	SAMEA2340085			
1280.8534	26686880	PRJEB5261	SAMEA2340085			
1280.8534	26686880	PRJEB5261	SAMEA2340085			
1280.8534	26686880	PRJEB5261	SAMEA2340085			
1280.8534	26686880	PRJEB5261	SAMEA2340085			
1280.8534	26686880	PRJEB5261	SAMEA2340085			
1280.8534	26686880	PRJEB5261	SAMEA2340085			
1280.8534	26686880	PRJEB5261	SAMEA2340085			
1280.8534	26686880	PRJEB5261	SAMEA2340085			
1280.9825	26686880	PRJEB5261	SAMEA2340086			
1280.9825	26686880	PRJEB5261	SAMEA2340086			
1280.9825	26686880	PRJEB5261	SAMEA2340086			
1280.9825	26686880	PRJEB5261	SAMEA2340086			
