pubmed_id	source_sheet	isolate_name	accession	accession_type	organism	drug_raw	mic_operator	mic_value	sir_call	source_file
35756053	Sheet1	1D-029			Escherichia coli	tetracycline	=	2		Table_2.XLSX
35756053	Sheet1	1D-029			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-030			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-030			Escherichia coli	cefuroxime	=	8		Table_2.XLSX
35756053	Sheet1	1D-030			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-030			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	ampicillin/sulbactam	=	16/8		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	cephalothin	=	16		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-031			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	ampicillin/sulbactam	=	8/4		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-032			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	amikacin	=	16		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	ampicillin/sulbactam	=	32/16		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	cefuroxime	=	16		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	gentamicin	=	4		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	ciprofloxacin	>	4		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	cefoxitin	=	16		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	tobramycin	>	8		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	ticarcillin/clavulanic acid	=	64/2		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-033			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-034			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-034			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-034			Escherichia coli	colistin	=	0.25		Table_2.XLSX
35756053	Sheet1	1D-035			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-035			Escherichia coli	ampicillin/sulbactam	=	8/4		Table_2.XLSX
35756053	Sheet1	1D-035			Escherichia coli	cefazolin	>	32		Table_2.XLSX
35756053	Sheet1	1D-035			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-035			Escherichia coli	cefuroxime	>	32		Table_2.XLSX
35756053	Sheet1	1D-035			Escherichia coli	cefoxitin	>	32		Table_2.XLSX
35756053	Sheet1	1D-035			Escherichia coli	cefpodoxime	=	16		Table_2.XLSX
35756053	Sheet1	1D-035			Escherichia coli	ceftazidime	=	16		Table_2.XLSX
35756053	Sheet1	1D-035			Escherichia coli	ticarcillin/clavulanic acid	=	64/2		Table_2.XLSX
35756053	Sheet1	1D-035			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-035			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	ampicillin/sulbactam	=	16/8		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	aztreonam	=	32		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	cefazolin	>	32		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	cefepime	=	32		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	cephalothin	>	16		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	cefuroxime	>	32		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	gentamicin	>	16		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	ciprofloxacin	>	4		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	cefoxitin	=	8		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	trimethoprim	>	4/76		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	cefpodoxime	>	16		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	ceftazidime	=	16		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	tobramycin	>	8		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	ticarcillin/clavulanic acid	=	32/2		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	ceftriaxone	>	64		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	tetracycline	>	16		Table_2.XLSX
35756053	Sheet1	1D-036			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-037			Escherichia coli	cephalothin	=	8		Table_2.XLSX
35756053	Sheet1	1D-037			Escherichia coli	trimethoprim	=	1/19		Table_2.XLSX
35756053	Sheet1	1D-037			Escherichia coli	tetracycline	=	1		Table_2.XLSX
35756053	Sheet1	1D-037			Escherichia coli	colistin	=	0.5		Table_2.XLSX
35756053	Sheet1	1D-038			Escherichia coli	ampicillin	>	32		Table_2.XLSX
35756053	Sheet1	1D-038			Escherichia coli	ampicillin/sulbactam	>	32/16		Table_2.XLSX
