pubmed_id	isolate_name	accession	accession_type	organism	drug_standardized	drug_raw	mic_operator	mic_value	mic_units	sir_call	breakpoint_standard	laboratory_typing_method	source_location	confidence
27381390	CVM N38229	SAMN02699273	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N50429	SAMN03894309	BioSample	Salmonella enterica	ampicillin	ampicillin	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N46846	SAMN03894225	BioSample	Salmonella enterica	ampicillin	ampicillin	>	32.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N51304	SAMN03894395	BioSample	Salmonella enterica	azithromycin	azithromycin	=	4.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N51261	SAMN03894352	BioSample	Salmonella enterica	ampicillin	ampicillin	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N31593	SAMN02699242	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N45406	SAMN03894151	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	<=	0.25	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM 43754	SAMN02911923	BioSample	Salmonella enterica	azithromycin	azithromycin	=	4.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM 43817	SAMN02911986	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.5	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM 43766	SAMN02911935	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	=	2.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N42458	SAMN02699346	BioSample	Salmonella enterica	ampicillin	ampicillin	>	32.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N45942	SAMN03894176	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	<=	0.25	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N32064	SAMN02699254	BioSample	Salmonella enterica	azithromycin	azithromycin	=	2.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N29338	SAMN02699195	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N37907	SAMN02699264	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N51307	SAMN03894398	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N45937	SAMN03894171	BioSample	Salmonella enterica	azithromycin	azithromycin	=	2.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N51281	SAMN03894372	BioSample	Salmonella enterica	azithromycin	azithromycin	=	8.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N51281	SAMN03894372	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	=	64.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N48677	SAMN03894264	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N43476	SAMN03894085	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N46850	SAMN03894229	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N31410	SAMN02699237	BioSample	Salmonella enterica	azithromycin	azithromycin	=	2.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N45400	SAMN03894145	BioSample	Salmonella enterica	azithromycin	azithromycin	=	4.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N41734	SAMN02699326	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	=	2.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N38929	SAMN02699305	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	<=	0.25	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N48706	SAMN03894293	BioSample	Salmonella enterica	azithromycin	azithromycin	=	8.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM 43807	SAMN02911976	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	=	8.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N29307	SAMN02699187	BioSample	Salmonella enterica	azithromycin	azithromycin	=	4.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N32779	SAMN02699261	BioSample	Salmonella enterica	azithromycin	azithromycin	=	4.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N32052	SAMN02699250	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N46855	SAMN03894234	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N32056	SAMN02699253	BioSample	Salmonella enterica	azithromycin	azithromycin	=	4.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM 43829	SAMN02911998	BioSample	Salmonella enterica	ampicillin	ampicillin	>	32.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N45939	SAMN03894173	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	<=	0.25	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N44696	SAMN03894113	BioSample	Salmonella enterica	azithromycin	azithromycin	=	4.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N29382	SAMN02699210	BioSample	Salmonella enterica	ampicillin	ampicillin	=	4.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N42469	SAMN02699349	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM 43769	SAMN02911938	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	=	16.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N44703	SAMN03894120	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	<=	0.25	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N47730	SAMN03894260	BioSample	Salmonella enterica	azithromycin	azithromycin	=	4.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N38238	SAMN02699277	BioSample	Salmonella enterica	azithromycin	azithromycin	=	4.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N46825	SAMN03894204	BioSample	Salmonella enterica	ampicillin	ampicillin	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N45395	SAMN03894140	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	<=	0.25	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N45405	SAMN03894150	BioSample	Salmonella enterica	ampicillin	ampicillin	>	32.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N42336	SAMN02699341	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	=	16.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N41747	SAMN02699328	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N45397	SAMN03894142	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N38917	SAMN02699302	BioSample	Salmonella enterica	ampicillin	ampicillin	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N42500	SAMN02699358	BioSample	Salmonella enterica	ampicillin	ampicillin	>	32.0	mg/L	Resistant	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N46839	SAMN03894218	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	=	0.03	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N30677	SAMN02699221	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	=	8.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N50421	SAMN03894301	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM 43759	SAMN02911928	BioSample	Salmonella enterica	ciprofloxacin	ciprofloxacin	<=	0.015	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N50421	SAMN03894301	BioSample	Salmonella enterica	amoxicillin-clavulanic_acid	amoxicillin/clavulanic acid	<=	1.0	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
27381390	CVM N43472	SAMN03894081	BioSample	Salmonella enterica	ceftriaxone	ceftriaxone	<=	0.25	mg/L	Susceptible	CLSI	Broth dilution	bv_brc_genome_amr	high
