Supplementary Data 11													
sample_set	comid	sra_accessions	species	Rifampicin	Isoniazid	Ethambutol	Kanamycin	Capreomycin	Amikacin	Streptomycin	Ciprofloxacin	Moxifloxacin	Amoxicillin
M_SRA	ERR274472	ERR274472	Mycobacterium smegmatis										
M_SRA	ERR274473	ERR274473	Mycobacterium smegmatis										
M_SRA	ERR274474	ERR274474	Mycobacterium smegmatis										
M_SRA	ERR274475	ERR274475	Mycobacterium smegmatis										
M_SRA	ERR274476	ERR274476	Mycobacterium smegmatis										
M_SRA	ERR274477	ERR274477	Mycobacterium smegmatis										
M_SRA	ERR274492	ERR274492	Mycobacterium smegmatis										
M_SRA	ERR274493	ERR274493	Mycobacterium smegmatis										
M_SRA	ERR274494	ERR274494	Mycobacterium smegmatis										
M_SRA	ERR274495	ERR274495	Mycobacterium smegmatis										
M_SRA	ERR274496	ERR274496	Mycobacterium smegmatis										
M_SRA	ERR274497	ERR274497	Mycobacterium smegmatis										
M_SRA	ERR274498	ERR274498	Mycobacterium smegmatis										
M_SRA	ERR274499	ERR274499	Mycobacterium smegmatis										
M_SRA	ERR274500	ERR274500	Mycobacterium smegmatis										
M_SRA	ERR274501	ERR274501	Mycobacterium smegmatis										
M_SRA	ERR274516	ERR274516	Mycobacterium smegmatis										
M_SRA	ERR274517	ERR274517	Mycobacterium smegmatis										
M_SRA	ERR274518	ERR274518	Mycobacterium smegmatis										
M_SRA	ERR274519	ERR274519	Mycobacterium smegmatis										
M_SRA	ERR274520	ERR274520	Mycobacterium smegmatis										
M_SRA	ERR274521	ERR274521	Mycobacterium smegmatis										
M_SRA	ERR274522	ERR274522	Mycobacterium smegmatis										
M_SRA	ERR274523	ERR274523	Mycobacterium smegmatis										
M_SRA	ERR274524	ERR274524	Mycobacterium smegmatis										
M_SRA	ERR274525	ERR274525	Mycobacterium smegmatis										
M_SRA	ERR279791	ERR279791	Mycobacterium smegmatis										
M_SRA	ERR279792	ERR279792	Mycobacterium smegmatis										
M_SRA	SRR071425	SRR071425	Mycobacterium smegmatis										
M_SRA	SRR1145492	SRR1145492	Mycobacterium smegmatis										
M_SRA	SRR1145588	SRR1145588	Mycobacterium smegmatis										
M_SRA	SRR1181225	SRR1181225	Mycobacterium smegmatis										
M_SRA	SRR1295978	SRR1295978	Mycobacterium smegmatis										
M_SRA	SRR1295979	SRR1295979	Mycobacterium smegmatis										
M_SRA	SRR453238	SRR453238	Mycobacterium smegmatis										
M_SRA	SRR453239	SRR453239	Mycobacterium smegmatis										
M_SRA	SRR453240	SRR453240	Mycobacterium smegmatis										
M_SRA	SRR453241	SRR453241	Mycobacterium smegmatis										
M_SRA	SRR915749	SRR915749	Mycobacterium smegmatis										
M_SRA	SRR915750	SRR915750	Mycobacterium smegmatis										
M_SRA	SRR915751	SRR915751	Mycobacterium smegmatis										
M_SRA	SRR915752	SRR915752	Mycobacterium smegmatis										
M_SRA	SRR915753	SRR915753	Mycobacterium smegmatis										
M_SRA	SRR915754	SRR915754	Mycobacterium smegmatis										
M_SRA	SRR952343	SRR952343	Mycobacterium smegmatis										
M_SRA	SRR952344	SRR952344	Mycobacterium smegmatis										
M_SRA	DRR016031	DRR016031	Mycobacterium sphagni										
M_SRA	DRR015957	DRR015957	Mycobacterium szulgai										
M_SRA	DRR016032	DRR016032	Mycobacterium triplex										
M_SRA	SRR071442	SRR071442	Mycobacterium tusciae										
M_SRA	SRR353352	SRR353352	Mycobacterium tusciae										
M_SRA	SRR353353	SRR353353	Mycobacterium tusciae										
M_SRA	SRR353354	SRR353354	Mycobacterium tusciae										
M_SRA	SRR353355	SRR353355	Mycobacterium tusciae										
M_SRA	ERR350081	ERR350081	Mycobacterium ulcerans										
M_SRA	ERR350089	ERR350089	Mycobacterium ulcerans										
M_SRA	ERR350097	ERR350097	Mycobacterium ulcerans										
M_SRA	ERR350105	ERR350105	Mycobacterium ulcerans										
M_SRA	ERR350113	ERR350113	Mycobacterium ulcerans										
M_SRA	ERR350121	ERR350121	Mycobacterium ulcerans										
M_SRA	ERR350129	ERR350129	Mycobacterium ulcerans										
M_SRA	ERR350137	ERR350137	Mycobacterium ulcerans										
M_SRA	ERR350145	ERR350145	Mycobacterium ulcerans										
M_SRA	ERR350153	ERR350153	Mycobacterium ulcerans										
M_SRA	ERR350161	ERR350161	Mycobacterium ulcerans										
M_SRA	ERR350169	ERR350169	Mycobacterium ulcerans										
M_SRA	ERR350177	ERR350177	Mycobacterium ulcerans										
M_SRA	ERR350185	ERR350185	Mycobacterium ulcerans										
M_SRA	ERR350193	ERR350193	Mycobacterium ulcerans										
M_SRA	ERR350201	ERR350201	Mycobacterium ulcerans										
M_SRA	ERR350209	ERR350209	Mycobacterium ulcerans										
M_SRA	ERR350217	ERR350217	Mycobacterium ulcerans										
M_SRA	ERR350225	ERR350225	Mycobacterium ulcerans										
M_SRA	ERR350233	ERR350233	Mycobacterium ulcerans										
