"Supplementary Dataset 1. R - Resistance, S - Susceptible"																	
sample_set	comid	sra_accessions	species	Sequence Type (ST)	Clol Complex (CC)	Gentamicin	Penicillin	Trimethoprim	Erythromycin	Methicillin	Ciprofloxacin	Rifampicin	Tetracycline	Mupirocin	FusidicAcid	Clindamycin	Vancomycin
St_A1	C00009017	ERS398000	aureus			S	R		S	S	S	S	S	S	S	S	S
St_A1	C00000828	ERS397531	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003268	ERS397769	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00000825	ERS397528	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000826	ERS397529	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000827	ERS397530	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003119	ERS397626	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003118	ERS397625	aureus	5	cc5	R	S	S	S	S	S	S	S		S		S
St_A1	C00003114	ERS397622	aureus	8	cc8	S	R	S	S	S	S	S	R		R		S
St_A1	C00003116	ERS397624	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003111	ERS397619	aureus	22	cc22	S	R	S	R	R	R	S	S		R		S
St_A1	C00003110	ERS397618	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003113	ERS397621	aureus	291	cc291	S	S	S	S	S	S	S	S		S		S
St_A1	C00003112	ERS397620	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003186	ERS397690	aureus	1	cc1	S	R	S	S	S	S	S	R		R		S
St_A1	C00003187	ERS397691	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003184	ERS397688	aureus	188		S	R	S	S	S	S	S	S		S		S
St_A1	C00003185	ERS397689	aureus	39	cc39	S	S	S	S	S	S	S	S		S		S
St_A1	C00003182	ERS397686	aureus	36	cc30	S	R	S	R	R	R	S	S		S		S
St_A1	C00003183	ERS397687	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003180	ERS397684	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003181	ERS397685	aureus	45	cc45	S	S	S	S	S	S	S	S		S		S
St_A1	C00003188	ERS397692	aureus	39	cc39	S	R	S	S	S	S	S	S		S		S
St_A1	C00003189	ERS397693	aureus	36	cc30	S	R	S	R	R	R	S	R		S		S
St_A1	C00003270	ERS397771	aureus	12	cc12	S	S	S	S	S	S	S	S		S		S
St_A1	C00003271	ERS397772	aureus	22	cc22	S	R	S	R	R	R	S	R		S		S
St_A1	C00003238	ERS397739	aureus	59	cc59	S	R	S	S	S	S	S	S		S		S
St_A1	C00003239	ERS397740	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003235	ERS397736	aureus	22	cc22	S	R	S	S	R	R	S	S		S		S
St_A1	C00003236	ERS397737	aureus	15	cc15	S	R	S	S	S	S	S	S		S		S
St_A1	C00003237	ERS397738	aureus	59	cc59	S	R	S	S	S	S	S	S		S		S
St_A1	C00003231	ERS397733	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003232	ERS397734	aureus	1	cc1	S	R	S	S	S	S	S	S		R		S
St_A1	C00003233	ERS397735	aureus			S	R	S	S	S	S	S	S		R		S
St_A1	C00003335	ERS397829	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003334	ERS397828	aureus	12	cc12	S	S	S	S	S	S	S	S		S		S
St_A1	C00003337	ERS397831	aureus	25	cc25	S	R	S	S	S	S	S	S		S		S
St_A1	C00003336	ERS397830	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003089	ERS397600	aureus	30	cc30	S	R	S	R	S	S	S	S		S		S
St_A1	C00003333	ERS397827	aureus	22	cc22	S	R	S	R	R	R	S	S		S		S
St_A1	C00003332	ERS397826	aureus	146		S	S	S	S	S	S	S	S		S		S
St_A1	C00003321	ERS397818	aureus	22	cc22	S	R	S	S	S	S	S	S		R		S
St_A1	C00003339	ERS397833	aureus	22	cc22	S	R	S	S	S	R	S	S		S		S
St_A1	C00003338	ERS397832	aureus	12	cc12	S	S	S	S	S	S	S	S		S		S
St_A1	C00008628	ERS397972	aureus	34	cc34	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00008629	ERS397973	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00008997	ERS397997	aureus	36	cc30	S	R		R	S	R	S	S	S	S	R	S
St_A1	C00003249	ERS397750	aureus	22	cc22	S	S	S	S	S	S	S	S		S		S
St_A1	C00003248	ERS397749	aureus	1224		S	R	S	S	S	S	S	S		S		S
St_A1	C00003242	ERS397743	aureus	22	cc22	S	R	S	R	S	R	S	S		S		S
St_A1	C00003275	ERS397775	aureus	7	cc7	S	R	S	S	S	S	S	S		S		S
St_A1	C00003425	ERS397916	aureus			S	R	S	S	S	S	S	S		S		S
St_A1	C00003424	ERS397915	aureus	30	cc30	S	R	S	S	S	S	S	S		S		S
St_A1	C00003421	ERS397912	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00003423	ERS397914	aureus			S	R	S	S	R	R	S	S		S		S
St_A1	C00003422	ERS397913	aureus	59	cc59	S	R	S	S	S	S	S	S		S		S
St_A1	C00001405	ERS397571	aureus	36	cc30	R	R		R	R	R	S	S	S	S	R	S
St_A1	C00001404	ERS397570	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00001406	ERS397572	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00001401	ERS397568	aureus	22	cc22	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00003278	ERS397778	aureus	45	cc45	S	R	S	S	S	S	S	S		S		S
St_A1	C00001402	ERS397569	aureus	36	cc30	R	R		R	R	R	S	S	R	S	R	S
St_A1	C00009029	ERS398004	aureus	22	cc22	S	R		S	R	R	S	S	S	S	S	S
St_A1	C00009021	ERS398003	aureus			S	R		S	S	R	S	S	S	S	S	S
St_A1	C00009020	ERS398002	aureus	30	cc30	S	R		S	S	S	S	S	S	S	S	S
St_A1	C00000859	ERS397552	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000858	ERS397551	aureus	36	cc30	S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000857	ERS397550	aureus	2046		S	R		R	R	R	S	S	S	S	R	S
St_A1	C00000851	ERS397548	aureus	22	cc22	S	R		R	R	R	S	R	S	S	R	S
